project,Release,Files,cloc,URL,History,Commits,Issues,Bug Issues,Fixed&Resolved Bug Issues ,linking commits,linking files,Buggy Files
Derby,10.13.1.1,2847,766477,http://db.apache.org/derby/,Aug 2004 - Jun 2017,8140,6947,4057,2637,2069,1780,67
Drill,1.4.0,2500,334153,http://drill.apache.org/,Sep 2012 - Jul 2017,2697,5701,4149,2188,1500,1187,727
Eagle,0.4.0,1801,115540,https://eagle.apache.org,Oct 2015 - Aug 2017,1005,1051,386,267,212,132,124
EmpireDB,2.4.6,458,51377,http://incubator.apache.org/projects/empire-db.html,Aug 2008 - Jul 2017,962,261,114,106,93,70,1081
Falcon,0.3,850,121288,http://falcon.apache.org,Nov 2011 - Jun 2017,2178,2300,1136,799,724,547,304
Felix,1.24.0,4908,470739,http://felix.apache.org,Jul 2005 - Aug 2017,14112,5571,3159,2396,2116,1237,99
Flink,0.4,5065,534282,http://flink.apache.org,Dec 2010 - Aug 2017,11779,7421,3345,2460,1629,931,529
Flume,1.7.0,642,85784,https://flume.apache.org,Aug 2011 - Aug 2017,1705,3126,1559,775,729,388,548
FOP,2.2,1993,210113,http://xmlgraphics.apache.org/fop,Oct 1999 - Aug 2017,7919,2728,2437,1219,175,40,247
FORTRESS,1,312,73986,http://directory.apache.org/fortress ,Sep 2011 - Jul 2017,1418,224,75,65,54,21,509
FtpServer,1.0.6,329,20716,http://mina.apache.org/ftpserver,Mar 2003 - Sep 2012,977,477,274,177,139,86,134
Geode,1.2.0,5977,1110821,http://geode.apache.org,Apr 2015 - Jul 2017,3789,3419,2161,1403,1190,434,1957
Giraph,1.1.0,1569,99147,http://giraph.apache.org/,Aug 2011 - Jun 2017,1047,1150,516,357,322,157,2695
Gora,0.2,413,30956,http://gora.apache.org,Oct 2010 - Aug 2017,985,519,185,130,107,76,363
Groovy,2.5.0,1504,352254,https://groovy.apache.org,Aug 2003 - Aug 2017,14065,8037,5488,3716,2559,1970,29
Hadoop-Common,2.5.0,5697,824266,http://hadoop.apache.org/,May 2009 - Aug 2014,10509,12604,6794,4350,3131,557,12
Hadoop-HDFS,0.21.0,521,100869,https://hadoop.apache.org/,May 2009 - Jun 2011,1134,11632,5112,2863,355,254,1854
Hadoop-Map-Reduce,0.21.0,1412,193264,http://hadoop.apache.org,May 2009 - Jun 2011,960,6625,4048,2177,466,355,641
Hama,0.7.1,427,45946,http://hama.apache.org,Jun 2008 - Aug 2016,1592,996,238,194,95,78,242
HBase,2.0.0,3427,638792,http://hbase.apache.org,Apr 2007 - Aug 2017,13786,18519,9102,6410,5850,2683,1029
Helix,0.7.1,717,93759,http://helix.apache.org,Jun 2011 - Apr 2017,2261,661,282,180,148,120,5
Hive,2.0.1,5304,1047235,http://hive.apache.org,Sep 2008 - Aug 2017,10572,17219,9774,5911,5493,4305,795
